id,condition,rte,tp,lof,bfi1,bfi2,bfi3,bfi4,bfi5,bfi6,bfi7,bfi8,bfi9,bfi10,bfio,bfic,bfie,bfia,bfin,maas1,maas2,maas3,maas4,maas5,maas6,maas7,maas8,maas9,maas10,maas11,maas12,maas13,maas14,maas15,maas_score,mwb1,mwb2,mwb3,mwb4,mwb5,mwb6,mwb7,mwb8,mwb9,mwb10,mwb11,mwb12,mwb13,mwb14,mwb_score,sleep1,sleep2,sleep3,sleep4,sleep5,sleep6,sleep7,sleep8,sleep_score,gender,age,eth (b = black; i = Indigenous; a = Asian; m = Middle Eastern; h = Native Hawaiin; l = Latino; w = White; o = Other; p = Prefer not to say)
11,1,1200,6,6,3,4,1,4,4,5,3,4,5,3,5,9,8,7,7,3,2,3,3,4,3,3,3,2,4,5,6,3,3,6,53,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,2,1,1,3,2,0,1,1,11,f,19,w
12,2,720,8,6,4,2,3,1,1,5,3,4,5,4,9,7,7,5,10,4,6,5,1,4,2,1,3,3,2,1,4,1,1,5,43,2,3,2,4,1,3,2,2,4,2,4,5,2,1,37,2,1,0,3,3,0,0,3,12,f,19,w
13,2,645,5,6,4,3,2,4,1,5,2,5,1,5,10,9,7,7,3,4,5,3,2,5,2,3,5,5,5,2,4,2,2,2,51,4,4,4,5,2,4,4,3,4,4,4,5,2,4,53,1,1,2,2,3,0,1,0,10,f,18,w
14,1,947,7,6,2,5,2,3,2,5,1,4,2,2,6,8,9,10,5,5,6,5,2,6,4,5,5,6,5,6,5,3,5,6,74,4,4,3,5,5,4,5,5,5,4,5,5,5,5,64,0,0,0,1,1,0,0,0,2,f,18,w
15,3,630,3,4,4,4,4,5,2,5,4,5,2,3,7,7,7,6,3,5,5,3,4,5,2,2,3,4,4,3,2,1,3,3,49,4,4,4,4,5,3,3,4,5,4,5,5,2,3,55,3,1,0,0,3,0,1,0,8,f,20,w
16,2,390,6,7,4,4,3,3,4,4,4,3,4,3,5,6,6,6,7,3,4,3,2,4,1,2,3,2,3,5,4,2,2,4,44,4,4,4,3,3,3,3,3,3,3,3,4,3,3,46,2,2,1,2,3,1,1,1,13,f,20,w
17,3,930,4,3,3,2,5,4,4,3,3,4,3,4,6,5,6,5,5,3,5,4,3,3,1,3,3,2,3,3,2,2,3,6,46,4,4,3,3,2,4,3,3,5,3,3,5,3,3,48,1,2,2,2,3,0,1,0,11,f,19,l
18,1,1428,4,8,4,4,3,4,2,4,2,1,5,5,9,4,6,8,7,6,4,2,3,5,2,4,3,2,3,4,4,1,3,6,52,5,5,2,4,1,4,4,5,3,3,1,4,5,4,50,1,3,0,1,3,0,2,0,10,f,20,l
19,2,600,6,7,4,5,2,2,2,4,2,4,4,4,8,8,6,9,8,4,5,4,5,4,4,5,4,3,4,3,4,2,4,4,59,4,4,3,5,4,4,4,3,4,4,4,4,5,4,56,1,1,0,2,2,0,1,0,7,f,18,w
20,1,945,7,9,5,3,2,4,1,5,2,5,1,5,10,9,6,7,3,6,4,4,4,6,4,5,5,3,4,5,6,4,3,6,69,5,4,3,4,4,4,3,3,4,5,3,5,4,5,56,2,0,0,2,1,0,0,0,5,f,19,a
21,3,480,7,1,2,3,1,1,1,5,2,5,3,4,9,10,9,7,8,4,6,5,2,6,4,3,6,5,5,2,2,3,5,6,64,5,4,2,3,3,5,5,4,4,4,5,5,3,3,55,2,2,0,3,1,0,0,0,8,f,19,w
22,2,885,5,4,2,5,4,4,1,4,2,5,2,4,9,7,8,9,4,5,6,4,5,4,5,3,4,5,2,2,3,4,2,4,58,4,4,3,5,2,4,3,4,4,3,2,4,5,5,52,0,0,0,1,2,0,0,0,3,f,18,w
23,1,656,5,7,4,5,3,5,2,5,4,5,1,5,9,8,7,7,2,6,6,3,5,6,3,3,3,6,6,6,6,6,4,6,75,2,5,3,3,4,5,5,3,2,5,5,1,5,2,50,0,0,1,2,2,0,0,0,5,m,18,m
24,2,910,2,3,1,4,1,2,3,5,4,5,5,5,8,10,10,6,9,6,6,2,1,1,4,3,2,3,2,3,4,3,2,3,45,4,4,3,4,2,3,4,4,4,4,3,5,4,3,51,0,3,0,2,3,0,2,0,10,f,19,w
25,3,930,3,2,2,4,3,2,2,5,3,4,4,4,8,7,9,7,8,3,3,4,3,5,5,4,4,3,4,4,2,4,4,4,56,4,3,2,4,3,3,3,3,3,3,4,3,4,3,45,1,2,0,2,2,0,0,0,7,f,18,aw
26,1,797,4,6,1,3,1,2,2,5,1,5,5,4,8,10,10,8,9,4,5,3,5,5,6,5,5,4,4,5,4,3,4,3,65,4,3,3,4,3,2,3,2,4,2,3,3,4,4,44,1,1,0,1,2,0,1,0,6,f,19,w
27,3,630,5,3,2,5,5,2,1,3,3,4,5,5,10,5,7,8,9,3,5,1,2,2,6,4,4,3,5,2,4,1,3,6,51,2,3,2,3,2,4,3,3,4,2,2,5,4,4,43,1,3,2,3,3,0,2,0,14,f,18,l
28,3,1050,6,2,4,5,2,3,4,4,2,5,5,5,7,9,6,9,8,5,6,3,3,5,4,4,5,5,4,2,4,1,3,6,60,4,4,3,5,3,4,3,3,4,2,3,3,5,4,50,1,1,0,2,1,0,0,0,5,f,19,w
